document,sentiment
a joyous occasion,pos
Salma goes native and she 's never been better in this colorful bio-pic of a Mexican icon .,pos
The story 's pathetic and the gags are puerile . .,neg
The most amazing super-sized dosage of goofball stunts any `` Jackass '' fan could want .,pos
Spy Kids 2 also happens to be that rarity among sequels : It actually improves upon the original hit movie .,pos
"Scooby Doo is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation .",pos
Derailed by bad writing and possibly also by some of that extensive post-production reworking to aim the film at young males in the throes of their first full flush of testosterone .,neg
"Eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot .",neg
This is one of those war movies that focuses on human interaction rather than battle and action sequences ... and it 's all the stronger because of it .,pos
"director Hoffman , his writer and Kline 's agent should serve detention",neg
"A strong script , powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman , who is not only a pianist , but a good human being .",pos
The emotional overload of female angst irreparably drags the film down .,neg
"Painful , horrifying and oppressively tragic , this film should not be missed .",pos
"Spectacular in every sense of the word , even if you don ' t know an Orc from a Uruk-Hai .",pos
"Best indie of the year , so far .",pos
A lame comedy .,neg
Forget about one Oscar nomination for Julianne Moore this year - she should get all five .,pos
Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,neg
"But as you watch the movie , you 're too interested to care .",pos
"Thoughtless , random , superficial humour and a lot of very bad Scouse accents",neg
"A dark , quirky road movie that constantly defies expectation .",pos
You may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie .,neg
About as big a crowdpleaser as they possibly come .,pos
Dripping with cliche and bypassing no opportunity to trivialize the material .,neg
"High Crimes is a cinematic misdemeanor , a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , Morgan Freeman and Ashley Judd .",neg
"Oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .",neg
Like a can of 2-day old Coke .,neg
Will probably be one of those movies barely registering a blip on the radar screen of 2002 .,neg
Looks more like a travel-agency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independent-community guiding lights .,neg
"It 's tough to watch , but it 's a fantastic movie .",pos
or maybe `` How will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ? '',neg
You 'll probably love it .,pos
"Methodical , measured , and gently tedious in its comedy , Secret Ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",pos
a screenplay more ingeniously constructed than `` Memento '',pos
"Light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in Birthday Girl -- it 's simply , and surprisingly , a nice , light treat .",pos
"Without resorting to camp or parody , Haynes -LRB- like Sirk , but differently -RRB- has transformed the rhetoric of Hollywood melodrama into something provocative , rich , and strange .",pos
"Writer-director David Jacobson and his star , Jeremy Renner , have made a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted .",pos
"At just over an hour , Home Movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face .",pos
"This odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in Morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .",pos
"Crossroads feels like a teenybopper Ed Wood film , replete with the pubescent scandalous innuendo and the high-strung but flaccid drama .",neg
"For a story set at sea , Ghost Ship is pretty landbound , with its leaden acting , dull exposition and telegraphed ` surprises . '",neg
The entire movie establishes a wonderfully creepy mood .,pos
"But if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie .",neg
"A depressingly retrograde , ` post-feminist ' romantic comedy that takes an astonishingly condescending attitude toward women .",neg
Highly engaging .,pos
... spellbinding fun and deliciously exploitative .,pos
It 's as if De Palma spent an hour setting a fancy table and then served up Kraft Macaroni and Cheese .,neg
Lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,neg
Thumbs up to Paxton for not falling into the Hollywood trap and making a vanity project with nothing new to offer .,pos
Glazed with a tawdry B-movie scum .,neg
"If this is cinema , I pledge allegiance to Cagney and Lacey .",neg
It 's Splash without the jokes .,neg
"From a deceptively simple premise , this deeply moving French drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .",pos
"It is very difficult to care about the character , and that is the central flaw of the film .",neg
"Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative .",neg
"The music makes a nice album , the food is enticing and Italy beckons us all .",pos
"Another wholly unnecessary addition to the growing , moldering pile of , well , extreme stunt pictures .",neg
"A time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain .",pos
"The movie has a script -LRB- by Paul Pender -RRB- made of wood , and it 's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions .",neg
"Even a hardened voyeur would require the patience of Job to get through this interminable , shapeless documentary about the swinging subculture .",neg
It 's never dull and always looks good .,pos
"Despite all the closed-door hanky-panky , the film is essentially juiceless .",neg
"90 punitive minutes of eardrum-dicing gunplay , screeching-metal smashups , and flaccid odd-couple sniping .",neg
"Ms. Phoenix is completely lacking in charm and charisma , and is unable to project either Esther 's initial anomie or her eventual awakening .",neg
"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",pos
This ludicrous film is predictable at every turn .,neg
It 's been done before but never so vividly or with so much passion .,pos
"It 's been 13 months and 295 preview screenings since I last walked out on a movie , but Resident Evil really earned my indignant , preemptive departure .",neg
The trailer is a riot .,pos
"I was trying to decide what annoyed me most about God is Great ... I 'm Not , and then I realized that I just did n't care .",neg
A cheap scam put together by some cynical creeps at Revolution Studios and Imagine Entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life .,neg
"... with the gifted Pearce on hand to keep things on semi-stable ground dramatically , this retooled Machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself .",pos
-LRB- Sam 's -RRB- self-flagellation is more depressing than entertaining .,neg
"Purposefully shocking in its eroticized gore , if unintentionally dull in its lack of poetic frissons .",neg
"What a concept , what an idea , what a thrill ride .",pos
Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,neg
Pompous and garbled .,neg
"Road to Perdition does display greatness , and it 's worth seeing .",pos
"Further sad evidence that Tom Tykwer , director of the resonant and sense-spinning Run Lola Run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap .",neg
"Is not so much a work of entertainment as it is a unique , well-crafted psychological study of grief .",pos
Jackass is a vulgar and cheap-looking version of Candid Camera staged for the Marquis de Sade set .,neg
There 's nothing interesting in Unfaithful whatsoever .,neg
This ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it .,neg
A semi-autobiographical film that 's so sloppily written and cast that you can not believe anyone more central to the creation of Bugsy than the caterer had anything to do with it .,neg
"An amateurish , quasi-improvised acting exercise shot on ugly digital video .",neg
That the real Antwone Fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .,pos
It may as well be called `` Jar-Jar Binks : The Movie . '',neg
"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",pos
A movie of technical skill and rare depth of intellect and feeling .,pos
Done in mostly by a weak script that ca n't support the epic treatment .,neg
Griffin & Co. manage to be spectacularly outrageous .,pos
It 's a masterpiece .,pos
What starts off as a possible Argentine American Beauty reeks like a room stacked with pungent flowers .,neg
"A film of empty , fetishistic violence in which murder is casual and fun .",neg
"The enjoyable Undercover Brother , a zany mix of Saturday Night Live-style parody , '70s Blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that everyone can enjoy .",pos
"It 's crafty , energetic and smart -- the kid is sort of like a fourteen-year old Ferris Bueller .",pos
Half Past Dead is just such an achievement .,pos
Banal and predictable .,neg
"A brisk , reverent , and subtly different sequel .",pos
